woman,age,education,work,metropolitan_area,non_white,urban,work_permit,poverty
1,38,4,4,0,0,1,2,1
1,60,4,8,0,0,1,2,0
1,57,7,9,1,1,1,2,0
0,67,4,8,1,1,1,2,0
1,65,7,4,1,1,1,1,0
0,64,7,7,1,0,1,0,0
1,42,7,8,0,1,1,2,0
0,44,7,4,0,0,1,2,0
1,41,7,4,0,0,1,2,0
0,23,6,4,0,0,1,2,0
0,35,3,7,0,1,1,1,0
1,36,6,9,0,1,1,2,0
0,40,5,1,0,1,1,2,0
0,49,3,4,0,1,1,2,0
1,31,7,8,0,0,1,2,0
0,46,5,5,0,0,1,2,0
0,30,7,2,0,0,1,1,0
0,41,2,5,0,0,1,1,1
0,24,5,4,0,0,1,1,1
1,46,7,9,0,1,1,2,0
0,16,2,4,0,1,1,0,0
0,28,5,5,0,1,1,2,0
0,49,2,8,0,1,1,2,0
0,27,2,2,0,1,1,1,0
0,36,5,3,0,0,1,2,0
0,36,3,7,0,1,1,1,0
1,34,4,7,0,1,1,1,0
0,34,5,4,0,0,1,1,0
1,29,5,10,0,1,1,2,0
0,38,3,2,0,1,1,1,1
0,40,5,1,0,1,0,1,0
0,43,2,1,0,1,0,2,0
0,30,2,1,0,0,0,2,0
0,43,2,1,0,0,0,2,0
0,18,2,1,0,1,0,2,0
0,51,2,1,0,0,0,2,0
0,50,2,4,0,1,0,2,1
0,22,3,1,0,1,0,1,0
1,44,7,9,0,1,0,2,0
0,44,4,1,0,1,0,2,0
0,35,2,1,0,1,1,0,1
0,43,3,2,0,1,1,1,0
1,38,5,4,0,1,1,1,0
1,48,5,9,0,1,1,2,0
1,48,7,4,1,1,0,2,0
0,26,2,7,1,1,0,2,1
1,39,2,4,1,1,0,2,1
1,20,4,4,1,1,0,2,1
0,42,3,7,1,1,0,2,1
0,54,6,7,1,1,0,2,0
1,33,5,6,1,1,0,2,0
0,30,2,3,1,0,0,1,1
0,42,2,7,1,1,0,2,1
1,23,2,9,1,1,0,1,0
0,49,6,4,1,1,1,1,1
0,20,2,7,1,1,1,1,1
1,53,5,8,1,0,1,2,0
0,47,7,8,1,1,1,0,0
1,30,7,7,1,1,1,1,0
0,32,5,4,1,0,1,1,0
1,30,7,4,1,0,1,1,0
0,46,5,5,0,0,0,2,0
1,40,7,9,0,0,0,2,0
0,21,5,5,0,0,0,2,0
0,39,2,1,0,1,0,2,1
0,25,5,1,0,1,0,2,1
0,38,7,9,0,0,0,2,0
0,48,5,9,0,1,0,2,0
0,34,5,2,0,1,0,1,0
1,29,7,4,0,0,0,1,0
0,35,6,2,0,0,0,0,0
0,52,2,1,0,0,0,2,0
0,56,2,1,0,1,0,0,0
0,19,3,1,0,1,0,0,1
0,25,3,1,0,1,0,0,0
0,58,2,4,0,1,1,2,0
1,50,7,9,0,1,1,2,0
1,41,7,9,0,1,1,2,0
0,50,7,8,0,1,1,2,0
1,36,7,9,0,1,1,0,0
0,45,5,1,0,1,1,2,1
0,77,1,4,0,1,1,2,0
1,42,5,2,0,1,1,1,1
1,41,7,8,0,1,1,2,0
1,58,5,8,0,1,1,2,0
1,57,7,9,0,0,1,2,0
0,60,2,6,0,1,1,2,0
1,50,7,9,0,1,1,2,0
1,35,5,4,1,1,1,2,1
0,46,5,8,1,1,1,0,0
0,30,5,2,1,1,1,1,1
0,22,5,3,1,1,1,0,1
0,22,3,4,1,1,1,0,1
1,55,5,9,0,1,1,1,1
0,47,2,6,0,1,1,0,1
1,36,5,4,0,1,1,1,0
0,37,5,7,0,1,1,1,0
1,34,5,11,0,1,1,0,1
0,39,2,4,0,1,1,0,1
1,31,5,4,0,1,1,2,0
0,39,5,2,0,1,1,2,0
0,50,2,6,0,1,1,2,1
0,54,1,3,1,0,1,2,1
0,40,6,7,1,1,1,1,0
0,49,2,3,1,1,1,2,0
1,25,6,9,1,1,1,0,0
0,60,5,9,1,1,1,2,0
0,31,7,9,1,1,1,2,0
1,42,5,3,1,1,1,1,0
0,50,2,7,1,1,1,2,0
1,40,7,4,1,1,1,1,0
0,22,6,8,1,1,1,0,0
1,48,7,9,1,1,1,2,0
1,32,7,4,1,1,1,1,0
0,37,6,4,1,1,1,1,0
1,51,7,8,1,1,1,2,0
0,54,2,3,1,0,1,1,0
0,32,5,8,1,1,1,0,0
1,39,7,9,1,1,1,1,0
0,37,7,9,1,1,1,1,0
0,72,7,10,1,0,1,0,0
1,68,7,9,1,1,1,2,0
1,44,7,9,1,1,1,2,0
1,39,7,9,1,0,1,2,0
0,26,5,7,1,1,1,1,0
1,50,4,2,1,1,1,2,1
0,55,2,3,1,1,1,2,1
0,48,7,9,1,0,1,2,0
1,39,7,8,1,1,1,2,0
1,24,6,10,1,0,1,2,1
0,53,2,1,0,1,0,1,0
1,20,6,8,1,1,1,0,0
0,64,5,4,1,1,1,2,0
0,26,7,8,1,0,1,0,0
0,55,5,2,0,1,1,2,0
0,42,5,4,0,1,1,1,0
1,21,5,4,0,1,1,1,0
0,33,2,2,0,0,1,2,1
1,47,7,9,1,0,1,2,0
1,37,7,9,1,1,1,0,0
1,63,3,9,1,1,1,2,0
0,48,7,9,1,0,1,1,0
1,45,7,10,1,1,1,1,0
0,27,7,10,1,1,1,1,0
0,65,5,4,1,1,1,2,0
1,56,7,8,1,1,1,2,0
0,37,5,3,1,0,1,0,0
1,29,2,11,1,0,1,0,1
0,57,2,6,1,0,1,2,1
1,24,5,11,1,0,1,0,1
1,42,5,4,1,1,1,2,0
0,29,7,9,1,0,1,1,0
0,52,2,4,0,1,1,1,1
1,24,5,9,0,1,1,2,0
1,43,2,7,0,1,1,1,0
1,52,5,8,0,1,1,0,0
0,36,3,8,0,1,1,0,0
1,33,5,4,0,1,1,1,0
1,31,7,4,0,1,1,1,0
0,42,4,8,0,1,1,2,0
0,46,2,6,0,1,1,2,0
1,36,5,10,0,1,1,2,0
0,56,5,1,0,1,1,2,1
1,45,5,9,0,1,1,0,1
0,38,5,4,0,1,1,1,0
1,34,7,4,0,1,1,2,0
0,51,5,8,0,1,1,2,0
1,39,5,9,0,1,1,2,0
0,26,5,10,0,1,1,2,0
1,43,2,6,1,1,1,2,1
1,51,4,4,1,1,1,2,1
1,56,5,11,1,1,1,0,1
1,46,3,7,1,1,1,1,1
0,42,5,3,1,1,1,2,0
0,35,5,9,1,0,1,2,0
0,48,2,7,1,1,1,1,1
0,47,7,8,1,0,1,2,0
0,27,5,5,1,1,1,2,0
1,33,7,9,1,0,1,1,0
0,64,2,8,1,1,1,2,0
1,29,7,4,1,1,1,2,0
0,36,6,4,1,1,1,2,0
0,38,7,7,1,1,1,1,1
0,33,5,3,1,1,1,2,1
1,51,4,10,1,1,1,1,0
1,58,3,4,1,0,1,2,0
0,35,4,4,1,1,1,2,1
0,42,5,2,0,1,1,1,0
1,43,6,9,0,1,1,0,0
0,42,7,7,0,0,1,1,0
0,45,7,8,0,1,1,0,0
1,39,7,8,0,1,1,0,0
0,39,7,4,0,1,1,1,0
0,41,2,1,0,1,0,2,1
0,50,2,1,0,1,0,2,0
0,38,4,2,0,1,0,2,1
0,28,4,1,0,1,0,0,1
1,41,5,7,1,1,1,1,0
0,26,5,7,1,1,1,1,0
0,28,2,4,1,0,1,2,0
1,64,4,11,1,1,1,0,0
1,37,7,8,1,1,1,2,0
1,40,5,4,1,1,1,1,0
1,63,2,2,0,1,1,2,0
1,39,4,4,0,1,1,2,0
0,43,4,5,0,1,1,2,0
0,15,3,4,0,1,1,0,0
